dataset,method,query_id,ndcg@10,mrr@10,recall@100
scifact,all_minilm_l6,1259,0.6309297535714575,0.5,1.0
scifact,all_minilm_l6,1262,1.0,1.0,1.0
scifact,all_minilm_l6,1266,0.38685280723454163,0.2,1.0
scifact,all_minilm_l6,127,1.0,1.0,1.0
scifact,all_minilm_l6,1270,1.0,1.0,1.0
scifact,all_minilm_l6,1271,1.0,1.0,1.0
scifact,all_minilm_l6,1272,0.0,0.0,1.0
scifact,all_minilm_l6,1273,1.0,1.0,1.0
scifact,all_minilm_l6,1274,0.9469024295259745,1.0,1.0
scifact,all_minilm_l6,1278,1.0,1.0,1.0
scifact,all_minilm_l6,1279,1.0,1.0,1.0
scifact,all_minilm_l6,128,0.0,0.0,1.0
scifact,all_minilm_l6,1280,0.0,0.0,1.0
scifact,all_minilm_l6,1281,0.31546487678572877,0.125,1.0
scifact,all_minilm_l6,1282,1.0,1.0,1.0
scifact,all_minilm_l6,129,1.0,1.0,1.0
scifact,all_minilm_l6,1290,1.0,1.0,1.0
scifact,all_minilm_l6,1292,1.0,1.0,1.0
scifact,all_minilm_l6,1298,1.0,1.0,1.0
scifact,all_minilm_l6,13,0.0,0.0,1.0
scifact,all_minilm_l6,130,1.0,1.0,1.0
scifact,all_minilm_l6,1303,1.0,1.0,1.0
scifact,all_minilm_l6,1316,0.0,0.0,1.0
scifact,all_minilm_l6,1319,1.0,1.0,1.0
scifact,all_minilm_l6,132,0.0,0.0,0.0
scifact,all_minilm_l6,1320,1.0,1.0,1.0
scifact,all_minilm_l6,133,0.639945385422766,1.0,1.0
scifact,all_minilm_l6,1332,0.0,0.0,0.0
scifact,all_minilm_l6,1335,1.0,1.0,1.0
scifact,all_minilm_l6,1336,1.0,1.0,1.0
scifact,all_minilm_l6,1337,0.2890648263178879,0.1,1.0
scifact,all_minilm_l6,1339,1.0,1.0,1.0
scifact,all_minilm_l6,1344,0.6309297535714575,0.5,1.0
scifact,all_minilm_l6,1352,1.0,1.0,1.0
scifact,all_minilm_l6,1359,1.0,1.0,1.0
scifact,all_minilm_l6,1362,0.0,0.0,1.0
scifact,all_minilm_l6,1363,0.0,0.0,1.0
scifact,all_minilm_l6,1368,0.0,0.0,1.0
scifact,all_minilm_l6,137,1.0,1.0,1.0
scifact,all_minilm_l6,1370,0.5,0.3333333333333333,1.0
scifact,all_minilm_l6,1379,0.9558295932317544,1.0,1.0
scifact,all_minilm_l6,1382,1.0,1.0,1.0
scifact,all_minilm_l6,1385,0.6309297535714575,0.5,1.0
scifact,all_minilm_l6,1389,1.0,1.0,1.0
scifact,all_minilm_l6,1395,0.5,0.3333333333333333,1.0
scifact,all_minilm_l6,141,0.9197207891481876,1.0,1.0
scifact,all_minilm_l6,142,1.0,1.0,1.0
scifact,all_minilm_l6,143,1.0,1.0,1.0
scifact,all_minilm_l6,146,1.0,1.0,1.0
scifact,all_minilm_l6,148,0.6309297535714575,0.5,1.0
scifact,all_minilm_l6,163,1.0,1.0,1.0
scifact,all_minilm_l6,171,1.0,1.0,1.0
scifact,all_minilm_l6,179,0.9558295932317544,1.0,1.0
scifact,all_minilm_l6,180,1.0,1.0,1.0
scifact,all_minilm_l6,183,1.0,1.0,1.0
scifact,all_minilm_l6,185,1.0,1.0,1.0
scifact,all_minilm_l6,198,0.0,0.0,1.0
scifact,all_minilm_l6,208,0.5,0.3333333333333333,1.0
scifact,all_minilm_l6,212,0.3562071871080222,0.16666666666666666,1.0
scifact,all_minilm_l6,213,0.38685280723454163,0.2,1.0
scifact,all_minilm_l6,216,1.0,1.0,1.0
scifact,all_minilm_l6,217,1.0,1.0,1.0
scifact,all_minilm_l6,218,1.0,1.0,1.0
scifact,all_minilm_l6,219,1.0,1.0,1.0
scifact,all_minilm_l6,230,1.0,1.0,1.0
scifact,all_minilm_l6,232,1.0,1.0,1.0
scifact,all_minilm_l6,233,1.0,1.0,1.0
scifact,all_minilm_l6,236,1.0,1.0,1.0
scifact,all_minilm_l6,237,1.0,1.0,1.0
scifact,all_minilm_l6,238,0.6309297535714575,0.5,1.0
scifact,all_minilm_l6,239,0.0,0.0,1.0
scifact,all_minilm_l6,248,0.5,0.3333333333333333,1.0
scifact,all_minilm_l6,249,0.5,0.3333333333333333,1.0
scifact,all_minilm_l6,261,0.20438239758848611,0.14285714285714285,1.0
scifact,all_minilm_l6,268,1.0,1.0,1.0
scifact,all_minilm_l6,269,1.0,1.0,1.0
scifact,all_minilm_l6,274,1.0,1.0,1.0
scifact,all_minilm_l6,275,0.6797310500037655,0.5,1.0
scifact,all_minilm_l6,279,1.0,1.0,1.0
scifact,all_minilm_l6,294,0.0,0.0,1.0
scifact,all_minilm_l6,295,0.5,0.3333333333333333,1.0
scifact,all_minilm_l6,298,1.0,1.0,1.0
scifact,all_minilm_l6,3,0.5,0.3333333333333333,1.0
scifact,all_minilm_l6,300,0.43067655807339306,0.25,1.0
scifact,all_minilm_l6,303,0.0,0.0,0.0
scifact,all_minilm_l6,312,0.0,0.0,0.0
scifact,all_minilm_l6,314,0.0,0.0,1.0
scifact,all_minilm_l6,324,0.6309297535714575,0.5,1.0
scifact,all_minilm_l6,327,1.0,1.0,1.0
scifact,all_minilm_l6,338,0.6309297535714575,0.5,1.0
scifact,all_minilm_l6,343,0.8315546295836225,1.0,1.0
scifact,all_minilm_l6,350,1.0,1.0,1.0
scifact,all_minilm_l6,354,1.0,1.0,1.0
scifact,all_minilm_l6,36,0.4911492931622974,0.3333333333333333,1.0
scifact,all_minilm_l6,362,1.0,1.0,1.0
scifact,all_minilm_l6,380,1.0,1.0,1.0
scifact,all_minilm_l6,384,0.0,0.0,1.0
scifact,all_minilm_l6,385,0.6934264036172708,0.5,1.0
scifact,all_minilm_l6,386,1.0,1.0,1.0
scifact,all_minilm_l6,388,0.6309297535714575,0.5,1.0
scifact,all_minilm_l6,399,1.0,1.0,1.0
scifact,all_minilm_l6,410,1.0,1.0,1.0
scifact,all_minilm_l6,411,1.0,1.0,1.0
scifact,all_minilm_l6,415,0.0,0.0,1.0
scifact,all_minilm_l6,42,0.6309297535714575,0.5,1.0
scifact,all_minilm_l6,421,0.0,0.0,0.0
scifact,all_minilm_l6,431,0.0,0.0,1.0
scifact,all_minilm_l6,436,1.0,1.0,1.0
scifact,all_minilm_l6,437,0.0,0.0,0.0
scifact,all_minilm_l6,439,1.0,1.0,1.0
scifact,all_minilm_l6,440,1.0,1.0,1.0
scifact,all_minilm_l6,443,1.0,1.0,1.0
scifact,all_minilm_l6,452,0.17723928678404774,0.1,1.0
scifact,all_minilm_l6,475,0.0,0.0,1.0
scifact,all_minilm_l6,478,1.0,1.0,1.0
scifact,all_minilm_l6,48,0.0,0.0,0.0
scifact,all_minilm_l6,49,1.0,1.0,1.0
scifact,all_minilm_l6,491,1.0,1.0,1.0
scifact,all_minilm_l6,5,0.6309297535714575,0.5,1.0
scifact,all_minilm_l6,50,1.0,1.0,1.0
scifact,all_minilm_l6,501,1.0,1.0,1.0
scifact,all_minilm_l6,502,0.0,0.0,0.0
scifact,all_minilm_l6,507,0.6309297535714575,0.5,1.0
scifact,all_minilm_l6,508,0.0,0.0,1.0
scifact,all_minilm_l6,51,1.0,1.0,1.0
scifact,all_minilm_l6,513,0.6309297535714575,0.5,1.0
scifact,all_minilm_l6,514,1.0,1.0,1.0
